Burst,Pause,Syntactic.Context.of.the.pause,Distance.to.theme.after,Distance.to.theme.before,Thematic.element.with.pause,Thematic.element.without.pause,Non.Themetic.with.pause,Non.Thematic.without.pause,topical,evaluative,thematized.CA,marked,enhanced,textual,file_id
<MOUSECLICK><HIGHLIGHT 270:264><MOUSECLICK><MOUSECLICK>,3.864,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<HIGHLIGHT 250:249><MOUSECLICK>,1.424,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<DELETE17><LEFT18> romatically,12.623,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<HIGHLIGHT 533:630>,1.6,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<BACKSPACE1>,1.12,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<BACKSPACE1>,8.423,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<MOUSECLICK><BACKSPACE1>,1.248,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<SPACE>,1.774,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<MOUSECLICK>,1.008,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<ENTER1>,13.376,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"<MOUSECLICK><RIGHT1>,",14.382,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<MOUSECLICK>people,3.383,end NP,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<MOUSECLICK> new,5.927,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3
<MOUSECLICK>,2.936,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<SPACE>,1.408,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
The s<BACKSPACE2>se a re<BACKSPACE3>re all very positive aspects,1.055,mid NP,0,29,1,NA,NA,NA,1,NA,NA,NA,NA,NA,3
of,1.054,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
online dating.,75.31,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3
<MOUSECLICK>,13.663,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<HIGHLIGHT 1986:1977>,1.519,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<MOUSECLICK>,3.92,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"<MOUSECLICK>,p<BACKSPACE1>o<BACKSPACE1> one ta<BACKSPACE2>that only comes with",1.183,end VP ,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3
practiv<BACKSPACE1>c,1.135,mid word,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3
e,2,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
",",1.55,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<MOUSECLICK>,5.52,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<MOUSECLICK>,8.703,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<MOUSECLICK>,3.649,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<LEFT1>,1.471,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<BACKSPACE1>,1.455,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<MOUSECLICK>,1.216,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
This is not to,2.287,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
mention the,3.983,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
commoditisation and gamification of,3.296,mid NP,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3
<MOUSECLICK>,1.008,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
e,1.207,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
<MOUSECLICK>,1.96,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
I would argue that,5.425,end NP,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,4
online dating is noyt <BACKSPACE3>t,2.959,end VP,0,6,1,NA,NA,NA,1,NA,NA,NA,NA,NA,4
the best way to,5.487,mid VP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
date for the first few,1.375,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
days,1.871,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
", dates or even weeks",1.136,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
.,5.647,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
The reason,7.44,end NP,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,4
why I do not believe,12.022,end VP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,2.761,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
someone new,6.48,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
.,1.23,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
This could mean,8.053,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK><BACKSPACE10>,2.301,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,7.184,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,1.151,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
or,2.007,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,1,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
the first few,1.688,mid PP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,4
<MOUSECLICK>,1.575,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<BACKSPACE1>,6.888,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,1.367,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
I believe ta<BACKSPACE1>hat to get to knbow<BACKSPACE3>ow q<BACKSPACE1>,1.151,end VP,0,0,2,NA,NA,NA,NA,1,NA,1,NA,NA,4
someone,8.031,end clause,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
", met<BACKSPACE1>eting themn<BACKSPACE1>n<BACKSPACE1>",1.168,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
first in person for,1.295,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
first few dates is best way to get the feel of a person.,2.096,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
<RIGHT1><LEFT1>,1.552,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,2.064,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
online dating benefits the begining of a relationship is because chemistry,2.991,end clause,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4
",",19.183,end clause,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,3.56,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,8.815,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<HIGHLIGHT 33:73>,2.408,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<HIGHLIGHT 33:73><MOUSECLICK>,2.719,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,24.672,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,6.08,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
",",1.119,end PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
dates should be held in person,17.487,end sentence,0,24,1,NA,1,NA,1,NA,NA,NA,NA,NA,4
<MOUSECLICK>,16,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<BACKSPACE2> and,8.976,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
personal interest if<BACKSPACE1>s,3.439,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
created during,6.591,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
these first in person,1.184,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
connections.,2.399,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<ENTER2>Chemistry,2.543,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,4
or feeling a connecting<BACKSPACE2>on with someone is i<BACKSPACE1>vital to,1.007,mid NP,0,11,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
the start of a relationship. Chemistry is not felt through text message,1.119,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
or<BACKSPACE3>,2.048,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
or,1.583,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
chatting online,9.376,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
due to,39.071,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
there being no physical connection being made.,3.411,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
chemis<BACKSPACE6>Chemistry is felt when o<BACKSPACE1>you make eye contact,22.767,end sentence,0,16,1,NA,NA,1,1,NA,NA,NA,NA,NA,4
"<BACKSPACE1>,",1.52,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
smile and feel,1.056,end VP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
a mit<BACKSPACE2>utual feeling of wanting to be in,2.527,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
eachothers presn<BACKSPACE1>ance.,66.367,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
chr<BACKSPACE1>em<BACKSPACE4>Chemistry between two people is te<BACKSPACE1>he b<BACKSPACE1>,3.904,mid NP,0,6,1,NA,NA,NA,1,NA,NA,NA,NA,NA,4
foundation for,2.192,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
other,10.592,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"sentiments to occur, sucha as<BACKSPACE4> as trust and",23.505,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
humor,7.535,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
", which play",3.119,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
a major role in the stability of,6.56,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
the first few dates.,28.607,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<BACKSPACE2> in getting to know somoe<BACKSPACE2>eonn<BACKSPACE1>e new.<ENTER2>,3.84,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Personal interest,14.687,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,4
is also<BACKSPACE5>,1.806,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
what <BACKSPACE5>a byproduct of having chemisty<BACKSPACE1>ry between two new pop<BACKSPACE1>eple. When chemisty<BACKSPACE1>ry is had,1.263,end clause,60,6,NA,1,NA,2,1,NA,NA,NA,NA,NA,4
", person<BACKSPACE1>nal interests sucjs<BACKSPACE2>h as",3.262,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
"attraction, lust and",2.607,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
mutual feeling of comb<BACKSPACE1>pa,3.92,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
tability,7.399,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,1.352,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
s<MOUSECLICK>,1.048,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK><BACKSPACE2>are,3.646,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,1.089,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<RIGHT3><BACKSPACE3>s are,8.143,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,1.608,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>s,1.206,mid NP ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,3.256,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
are created and thus,16.944,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<BACKSPACE10>.,13.414,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK><BACKSPACE7>,3.502,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,6.817,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Having <BACKSPACE2>,2.479,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<BACKSPACE5>,6.784,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Attraction and compat,1.631,mid word,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4
an<BACKSPACE1>bility,5.039,end NP,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
along with chemistry,2.446,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
create a ev<BACKSPACE2>very stable,1.631,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
start to,3.04,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
two new people dating and this is only acheived by having met in person,1.679,end sentence,33,23,NA,NA,1,1,1,NA,NA,NA,NA,NA,4
.,83.742,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Online dating,4.015,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,4
or getting to know soo<BACKSPACE1>meone new by chat,1.023,end PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
or tes<BACKSPACE1>xt message does not crate a rela<BACKSPACE1>iable to start to,23.782,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,1.465,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
e,4.046,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<MOUSECLICK>,3.36,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
the bew<BACKSPACE3>new relationship.,1.487,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Reading how happy son<BACKSPACE1>meone is through text message is not the same thing as s,1.247,mid word,0,68,1,NA,NA,NA,1,NA,NA,NA,NA,NA,4
<BACKSPACE1>,1.551,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
havi<BACKSPACE4>witnessing how happy somoene is,14.08,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
in,1.407,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
person.,17.407,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
<ENTER2>,12.128,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
The best way to get to know somoene<BACKSPACE4>e,1.199,mid NP,0,19,1,NA,NA,NA,NA,NA,NA,1,NA,NA,4
one new and start to date them is to,1.343,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
have in person dates,3.232,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4
and to not,8.175,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
I believe sdf<BACKSPACE3>that,11.262,end AG,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,5
the idea of meeting,1.093,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,5
new people for,1.201,mid PP,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
<BACKSPACE4>to date,2.564,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
in real,1.266,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
<BACKSPACE4>-life is starting to v<BACKSPACE1>become obsolete.,13.429,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"Frp <BACKSPACE3>or instance,",1.865,end AG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
<BACKSPACE2>,4.68,end AG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
<BACKSPACE12>,8.146,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
?TH<BACKSPACE3>THis <BACKSPACE4>h <BACKSPACE1>is is the reality,4.166,end sentence,0,14,1,NA,1,NA,1,NA,NA,NA,NA,NA,5
of our current times.,14.511,end sentence,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
More of <BACKSPACE1>ten,2.873,end AG,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,5
thee<BACKSPACE1>se dats<BACKSPACE2>ys pepo<BACKSPACE2>ople are becoming more and more,1.01,end AG,0,26,NA,NA,1,NA,1,NA,NA,NA,NA,NA,5
isolo<BACKSPACE3>olated from one anoter. <BACKSPACE4>her.,13.925,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
This jas b<BACKSPACE5>jhas<BACKSPACE4>has ben <BACKSPACE2>en exx<BACKSPACE1>ca,1.673,mid word,0,13,1,NA,NA,NA,1,NA,NA,NA,NA,NA,5
<BACKSPACE2>aver<BACKSPACE3>cebated by the,14.654,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
t<BACKSPACE1>,1.115,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
extere<BACKSPACE2>r<BACKSPACE2>remen<BACKSPACE1> as<BACKSPACE3>l l<BACKSPACE10>,6.49,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5
recent,2.313,end AG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
extreme deme<BACKSPACE2>velopments in online do<BACKSPACE3> <BACKSPACE21>le,1.22,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
vo<BACKSPACE14>,5.016,end AG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
mass developments of online identifi,1.29,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
<BACKSPACE2>ties.,1.263,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"Generally,",4.303,end AG,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,5
people me<BACKSPACE2>seems to<BACKSPACE4> to have v<BACKSPACE1>been developognm<BACKSPACE4>ing a greater online present<BACKSPACE1>ce.,2.824,end sentence,0,55,1,NA,1,NA,1,NA,NA,NA,NA,NA,5
This i<BACKSPACE1>has allowed b<BACKSPACE1>o<BACKSPACE1>peopke<BACKSPACE2>le,11.495,end NP,0,18,1,NA,1,NA,1,NA,NA,NA,NA,NA,5
to,1.685,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
dedicate,6.063,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
a manor <BACKSPACE4>jr pa<BACKSPACE9>major parts of the <BACKSPACE1>ir identityu <BACKSPACE2> in<BACKSPACE2>on the internet. <LEFT50><RIGHT2><HIGHLIGHT 411:412><LEFT1><HIGHLIGHT 410:412><LEFT1><HIGHLIGHT 409:412><LEFT1><HIGHLIGHT 408:412><LEFT1><HIGHLIGHT 407:412><LEFT1><HIGHLIGHT 406:412><LEFT1><HIGHLIGHT 405:412><LEFT1><HIGHLIGHT 404:412><LEFT1><BACKSPACE1>,1.353,mid VP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5
s<BACKSPACE1>,10.982,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
leave<RIGHT47>,9.702,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"One<BACKSPACE1> a psoi<BACKSPACE3>oso<BACKSPACE1>itive note,",4.312,end PP,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,5
this has allowed people to get know people f<BACKSPACE1>f<BACKSPACE1>,1.041,end NP,0,25,1,NA,1,1,NA,NA,1,NA,NA,NA,5
in a much more deeper levels<BACKSPACE1> thja<BACKSPACE2>an it was piss<BACKSPACE3>ossible,3.76,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5
a long time a t<BACKSPACE2>ao<BACKSPACE1>go.<BACKSPACE4>go<BACKSPACE13>not si <BACKSPACE2>o long ago.,13.075,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"However, on a <BACKSPACE1> darker note,",2.302,end PP,0,0,2,NA,NA,NA,NA,1,NA,NA,NA,1,5
this,1.229,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
allows to th<BACKSPACE5>for the pss<BACKSPACE2>ossibility of<BACKSPACE1>f,1.449,mid NP,0,23,1,NA,1,NA,NA,NA,1,NA,NA,NA,5
people,1.469,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
fav<BACKSPACE1>bricating a,12.564,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
sort of <BACKSPACE1>a <BACKSPACE2> a sdf<BACKSPACE3>,2.619,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
facade,1.68,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
of their identy<BACKSPACE1>ity.,14.441,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Thios<BACKSPACE2>s could lead to,13.796,mid PP,0,14,1,NA,NA,NA,1,NA,NA,NA,NA,NA,5
major isses that could o<BACKSPACE1>potentuall<BACKSPACE4>ially cause very,9.102,end AG,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,5
serious issues if you,1.488,end NP,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,5
<BACKSPACE7>in real,1.074,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
life.,1.281,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Be that,1.026,end NP,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5
"is<BACKSPACE2>as it may,",17.566,end AG,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
I believe,8.231,end VP,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,5
ther are<BACKSPACE5>e <BACKSPACE2>re a re <BACKSPACE4>re,27.032,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
majr <BACKSPACE5>,14.144,end VP,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
stilly <BACKSPACE2>,1.498,end AG,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
significan <BACKSPACE1>t advantages to meeting m<BACKSPACE1>people in<BACKSPACE2>online for the first time.,5.97,end sentence,0,44,NA,NA,1,NA,NA,NA,NA,NA,1,NA,5
The fior<BACKSPACE2>oir<BACKSPACE2>r<BACKSPACE2>rst and foremost reason is,5.18,end VP,0,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5
quite,4.966,end AG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
simple.,9.832,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
/Y<BACKSPACE2>You have to take ino<BACKSPACE1>to account the,26.755,mid NP,0,29,1,NA,1,NA,NA,NA,NA,NA,NA,NA,5
riks <BACKSPACE3>sks associated wuth<BACKSPACE3>ith,2.156,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
eiter <BACKSPACE3>her of the opto<BACKSPACE1>ions.,19.596,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5
sfd<BACKSPACE3>,21.321,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
sdf<BACKSPACE3>One<BACKSPACE3>,1.12,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
There are <BACKSPACE10>,3.487,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"On the one hadn<BACKSPACE2>nd, meeting people in real-<BACKSPACE9> online would be",1.039,end VP,0,8,1,1,NA,NA,NA,NA,1,NA,NA,1,5
quite con<BACKSPACE1>st effective.,3.163,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5
There ius <BACKSPACE3>sn't much,1.147,end AG,12,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,5
at risk,1.037,end sentence,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
(unless to<BACKSPACE2>you are dealing with a,1.376,mid NP,0,18,NA,NA,1,1,1,NA,NA,NA,NA,1,5
s<BACKSPACE1>very seruou<BACKSPACE3>io<BACKSPACE1>us hacker;,1.834,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"<BACKSPACE2>, which is quite w<BACKSPACE2>",1.769,end AG,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5
